contest_id,contest_link,contest_name
1046,https://codeforces.com/contest/1046/status,"Bubble Cup 11 - Finals [Online Mirror, Div. 2]"
1047,https://codeforces.com/contest/1047/status,Codeforces Round #511 (Div. 2)
1051,https://codeforces.com/contest/1051/status,Educational Codeforces Round 51 (Rated for Div. 2)
1058,https://codeforces.com/contest/1058/status,"Codeforces Round #512 (Div. 2, based on Technocup 2019 Elimination Round 1)"
1059,https://codeforces.com/contest/1059/status,Codeforces Round #514 (Div. 2)
1060,https://codeforces.com/contest/1060/status,"Codeforces Round #513 by Barcelona Bootcamp (rated, Div. 1 + Div. 2)"
1061,https://codeforces.com/contest/1061/status,Codeforces Round #523 (Div. 2)
1062,https://codeforces.com/contest/1062/status,Codeforces Round #520 (Div. 2)
1064,https://codeforces.com/contest/1064/status,"Codeforces Round #516 (Div. 2, by Moscow Team Olympiad)"
1065,https://codeforces.com/contest/1065/status,Educational Codeforces Round 52 (Rated for Div. 2)
1066,https://codeforces.com/contest/1066/status,Codeforces Round #515 (Div. 3)
1068,https://codeforces.com/contest/1068/status,"Codeforces Round #518 (Div. 2) [Thanks, Mail.Ru!]"
1072,https://codeforces.com/contest/1072/status,"Codeforces Round #517 (Div. 2, based on Technocup 2019 Elimination Round 2)"
1073,https://codeforces.com/contest/1073/status,Educational Codeforces Round 53 (Rated for Div. 2)
1075,https://codeforces.com/contest/1075/status,Lyft Level 5 Challenge 2018 - Final Round (Open Div. 2)
1076,https://codeforces.com/contest/1076/status,Educational Codeforces Round 54 (Rated for Div. 2)
1077,https://codeforces.com/contest/1077/status,Codeforces Round #521 (Div. 3)
1079,https://codeforces.com/contest/1079/status,"Codeforces Round #522 (Div. 2, based on Technocup 2019 Elimination Round 3)"
1080,https://codeforces.com/contest/1080/status,Codeforces Round #524 (Div. 2)
1082,https://codeforces.com/contest/1082/status,Educational Codeforces Round 55 (Rated for Div. 2)
1084,https://codeforces.com/contest/1084/status,Codeforces Round #526 (Div. 2)
1087,https://codeforces.com/contest/1087/status,"Codeforces Round #528 (Div. 2, based on Technocup 2019 Elimination Round 4)"
1088,https://codeforces.com/contest/1088/status,Codeforces Round #525 (Div. 2)
1092,https://codeforces.com/contest/1092/status,Codeforces Round #527 (Div. 3)
1093,https://codeforces.com/contest/1093/status,Educational Codeforces Round 56 (Rated for Div. 2)
1095,https://codeforces.com/contest/1095/status,Codeforces Round #529 (Div. 3)
1096,https://codeforces.com/contest/1096/status,Educational Codeforces Round 57 (Rated for Div. 2)
1099,https://codeforces.com/contest/1099/status,Codeforces Round #530 (Div. 2)
1100,https://codeforces.com/contest/1100/status,Codeforces Round #532 (Div. 2)
1101,https://codeforces.com/contest/1101/status,Educational Codeforces Round 58 (Rated for Div. 2)
1102,https://codeforces.com/contest/1102/status,Codeforces Round #531 (Div. 3)
1104,https://codeforces.com/contest/1104/status,Codeforces Round #534 (Div. 2)
1105,https://codeforces.com/contest/1105/status,Codeforces Round #533 (Div. 2)
1106,https://codeforces.com/contest/1106/status,Codeforces Round #536 (Div. 2)
1107,https://codeforces.com/contest/1107/status,Educational Codeforces Round 59 (Rated for Div. 2)
1108,https://codeforces.com/contest/1108/status,Codeforces Round #535 (Div. 3)
1111,https://codeforces.com/contest/1111/status,CodeCraft-19 and Codeforces Round #537 (Div. 2)
1113,https://codeforces.com/contest/1113/status,Codeforces Round #539 (Div. 2)
1114,https://codeforces.com/contest/1114/status,Codeforces Round #538 (Div. 2)
1117,https://codeforces.com/contest/1117/status,Educational Codeforces Round 60 (Rated for Div. 2)
1118,https://codeforces.com/contest/1118/status,Codeforces Round #540 (Div. 3)
1130,https://codeforces.com/contest/1130/status,Codeforces Round #542 [Alex Lopashev Thanks-Round] (Div. 2)
1131,https://codeforces.com/contest/1131/status,Codeforces Round #541 (Div. 2)
1000,https://codeforces.com/contest/1000/status,Educational Codeforces Round 46 (Rated for Div. 2)
1003,https://codeforces.com/contest/1003/status,Codeforces Round #494 (Div. 3)
1004,https://codeforces.com/contest/1004/status,Codeforces Round #495 (Div. 2)
1005,https://codeforces.com/contest/1005/status,Codeforces Round #496 (Div. 3)
1008,https://codeforces.com/contest/1008/status,Codeforces Round #497 (Div. 2)
1009,https://codeforces.com/contest/1009/status,Educational Codeforces Round 47 (Rated for Div. 2)
893,https://codeforces.com/contest/893/status,Educational Codeforces Round 33 (Rated for Div. 2)
894,https://codeforces.com/contest/894/status,Codeforces Round #447 (Div. 2)
895,https://codeforces.com/contest/895/status,Codeforces Round #448 (Div. 2)
897,https://codeforces.com/contest/897/status,Codeforces Round #449 (Div. 2)
898,https://codeforces.com/contest/898/status,Codeforces Round #451 (Div. 2)
899,https://codeforces.com/contest/899/status,Codeforces Round #452 (Div. 2)
900,https://codeforces.com/contest/900/status,Codeforces Round #450 (Div. 2)
902,https://codeforces.com/contest/902/status,Codeforces Round #453 (Div. 2)
903,https://codeforces.com/contest/903/status,Educational Codeforces Round 34 (Rated for Div. 2)
907,https://codeforces.com/contest/907/status,"Codeforces Round #454 (Div. 2, based on Technocup 2018 Elimination Round 4)"
909,https://codeforces.com/contest/909/status,Codeforces Round #455 (Div. 2)
911,https://codeforces.com/contest/911/status,Educational Codeforces Round 35 (Rated for Div. 2)
912,https://codeforces.com/contest/912/status,Codeforces Round #456 (Div. 2)
914,https://codeforces.com/contest/914/status,"Codecraft-18 and Codeforces Round #458 (Div. 1 + Div. 2, combined)"
915,https://codeforces.com/contest/915/status,Educational Codeforces Round 36 (Rated for Div. 2)
916,https://codeforces.com/contest/916/status,Codeforces Round #457 (Div. 2)
918,https://codeforces.com/contest/918/status,Codeforces Round #459 (Div. 2)
919,https://codeforces.com/contest/919/status,Codeforces Round #460 (Div. 2)
920,https://codeforces.com/contest/920/status,Educational Codeforces Round 37 (Rated for Div. 2)
922,https://codeforces.com/contest/922/status,Codeforces Round #461 (Div. 2)
931,https://codeforces.com/contest/931/status,"Codeforces Round #468 (Div. 2, based on Technocup 2018 Final Round)"
932,https://codeforces.com/contest/932/status,"ICM Technex 2018 and Codeforces Round #463 (Div. 1 + Div. 2, combined)"
934,https://codeforces.com/contest/934/status,Codeforces Round #462 (Div. 2)
935,https://codeforces.com/contest/935/status,Codeforces Round #465 (Div. 2)
937,https://codeforces.com/contest/937/status,Codeforces Round #467 (Div. 2)
938,https://codeforces.com/contest/938/status,Educational Codeforces Round 38 (Rated for Div. 2)
939,https://codeforces.com/contest/939/status,Codeforces Round #464 (Div. 2)
940,https://codeforces.com/contest/940/status,Codeforces Round #466 (Div. 2)
946,https://codeforces.com/contest/946/status,Educational Codeforces Round 39 (Rated for Div. 2)
948,https://codeforces.com/contest/948/status,"Codeforces Round #470 (rated, Div. 2, based on VK Cup 2018 Round 1)"
950,https://codeforces.com/contest/950/status,Codeforces Round #469 (Div. 2)
954,https://codeforces.com/contest/954/status,Educational Codeforces Round 40 (Rated for Div. 2)
955,https://codeforces.com/contest/955/status,Codeforces Round #471 (Div. 2)
957,https://codeforces.com/contest/957/status,"Codeforces Round #472 (rated, Div. 2, based on VK Cup 2018 Round 2)"
959,https://codeforces.com/contest/959/status,Codeforces Round #473 (Div. 2)
960,https://codeforces.com/contest/960/status,"Divide by Zero 2018 and Codeforces Round #474 (Div. 1 + Div. 2, combined)"
961,https://codeforces.com/contest/961/status,Educational Codeforces Round 41 (Rated for Div. 2)
962,https://codeforces.com/contest/962/status,Educational Codeforces Round 42 (Rated for Div. 2)
964,https://codeforces.com/contest/964/status,Tinkoff Internship Warmup Round 2018 and Codeforces Round #475 (Div. 2)
965,https://codeforces.com/contest/965/status,"Codeforces Round #476 (Div. 2) [Thanks, Telegram!]"
967,https://codeforces.com/contest/967/status,"Codeforces Round #477 (rated, Div. 2, based on VK Cup 2018 Round 3)"
